,Hour,Location
0,0.0,"[-73.99996999999999, 40.73469]"
1,0.0,"[-74.00738, 40.71058]"
2,0.0,"[-73.98695, 40.72099]"
3,0.0,"[-73.99169, 40.7352]"
4,0.0,"[-73.98579000000001, 40.7352]"
5,0.0,"[-74.01151, 40.70297]"
6,0.0,"[-74.01443, 40.71103]"
7,0.0,"[-73.97236, 40.76229]"
8,0.0,"[-74.01324, 40.705870000000004]"
9,0.0,"[-74.00947, 40.710409999999996]"
10,0.0,"[-73.99537, 40.72504]"
11,0.0,"[-73.99315, 40.72787]"
12,0.0,"[-73.98132, 40.72065]"
13,0.0,"[-74.00823000000001, 40.72198]"
14,0.0,"[-73.9899, 40.73445]"
15,0.0,"[-73.96069, 40.765609999999995]"
16,0.0,"[-73.98368, 40.743959999999994]"
17,0.0,"[-74.00259, 40.71992]"
18,0.0,"[-73.98852, 40.737120000000004]"
19,0.0,"[-73.98042, 40.75991]"
20,0.0,"[-74.00406, 40.71314]"
21,0.0,"[-73.99505, 40.73403]"
22,0.0,"[-73.99305, 40.72282]"
23,0.0,"[-74.00745, 40.70605]"
24,0.0,"[-73.99263, 40.75843]"
25,0.0,"[-73.98815, 40.73196]"
26,0.0,"[-74.00723, 40.71304]"
27,0.0,"[-74.01158000000001, 40.703520000000005]"
28,0.0,"[-73.99906, 40.720040000000004]"
29,0.0,"[-73.97269, 40.749159999999996]"
30,0.0,"[-73.98266, 40.72726]"
31,0.0,"[-73.98575, 40.723009999999995]"
32,0.0,"[-73.99375, 40.72094]"
33,0.0,"[-73.99778, 40.72424]"
34,0.0,"[-73.99231999999999, 40.74357]"
35,0.0,"[-73.98857, 40.72285]"
36,0.0,"[-74.00156, 40.7173]"
37,0.0,"[-74.00498, 40.715759999999996]"
38,0.0,"[-73.99671, 40.7255]"
39,0.0,"[-73.99413, 40.72009]"
40,0.0,"[-74.00616, 40.73444]"
41,0.0,"[-73.98621999999999, 40.73462]"
42,0.0,"[-74.00498, 40.715759999999996]"
43,0.0,"[-73.97166999999999, 40.74631]"
44,0.0,"[-74.00119000000001, 40.72917]"
45,0.0,"[-74.01424, 40.70452]"
46,0.0,"[-74.01228, 40.72034]"
47,0.0,"[-73.9894, 40.762859999999996]"
48,0.0,"[-73.98494000000001, 40.73235]"
49,0.0,"[-73.99336, 40.71907]"
50,0.0,"[-73.97539, 40.74544]"
51,0.0,"[-73.99413, 40.72664]"
52,0.0,"[-74.00304, 40.71803]"
53,0.0,"[-74.00596999999999, 40.72038]"
54,0.0,"[-73.99413, 40.72664]"
55,0.0,"[-73.96523, 40.75512]"
56,0.0,"[-74.00066, 40.72218]"
57,0.0,"[-74.00461999999999, 40.72137]"
58,0.0,"[-73.98695, 40.756040000000006]"
59,0.0,"[-73.9722, 40.749829999999996]"
60,0.0,"[-73.99583, 40.71665]"
61,0.0,"[-73.99852, 40.71979]"
62,0.0,"[-73.99965999999999, 40.73407]"
63,0.0,"[-73.98111, 40.7445]"
64,0.0,"[-73.98411999999999, 40.75484]"
65,0.0,"[-73.97924, 40.74707]"
66,0.0,"[-73.99864000000001, 40.71352]"
67,0.0,"[-73.98695, 40.72099]"
68,0.0,"[-73.99238000000001, 40.71505]"
69,0.0,"[-74.00461999999999, 40.72137]"
70,0.0,"[-73.98315, 40.73883]"
71,0.0,"[-73.99246, 40.748470000000005]"
72,0.0,"[-74.00304, 40.71803]"
73,0.0,"[-74.00596999999999, 40.72038]"
74,0.0,"[-73.99125, 40.72777]"
75,0.0,"[-73.98668, 40.733979999999995]"
76,0.0,"[-73.98315, 40.73883]"
77,0.0,"[-73.97744, 40.74954]"
78,0.0,"[-74.00249000000001, 40.739740000000005]"
79,0.0,"[-73.98857, 40.72285]"
80,0.0,"[-73.96715, 40.75677]"
81,0.0,"[-73.9986, 40.71712]"
82,0.0,"[-74.00705, 40.718270000000004]"
83,0.0,"[-74.00403, 40.71687]"
84,0.0,"[-74.00795, 40.714940000000006]"
85,0.0,"[-73.99671, 40.7255]"
86,0.0,"[-74.00999, 40.70981]"
87,0.0,"[-73.98618, 40.726409999999994]"
88,0.0,"[-74.01422, 40.70463]"
89,0.0,"[-73.97165, 40.75456]"
90,0.0,"[-73.99028, 40.7191]"
91,0.0,"[-73.99502, 40.73986]"
92,0.0,"[-74.00631, 40.722559999999994]"
93,0.0,"[-73.95924000000001, 40.76337]"
94,0.0,"[-73.99918000000001, 40.73924]"
95,0.0,"[-73.99265, 40.73733]"
96,0.0,"[-74.00050999999999, 40.73231]"
97,0.0,"[-73.96623000000001, 40.75802]"
98,0.0,"[-73.98451, 40.736959999999996]"
99,0.0,"[-74.00739, 40.70518]"
100,0.0,"[-73.98266, 40.7395]"
101,0.0,"[-73.97972, 40.7464]"
102,0.0,"[-74.00403, 40.71687]"
103,0.0,"[-73.98379, 40.72155]"
104,0.0,"[-73.99613000000001, 40.74343]"
105,0.0,"[-74.00406, 40.71314]"
106,0.0,"[-73.99479000000001, 40.7316]"
107,0.0,"[-73.99543, 40.71731]"
108,0.0,"[-73.99475, 40.72783]"
109,0.0,"[-73.97165, 40.75456]"
110,0.0,"[-73.98705, 40.7252]"
111,0.0,"[-74.00296999999999, 40.72332]"
112,0.0,"[-74.01321, 40.71522]"
113,0.0,"[-73.99987, 40.72043]"
114,0.0,"[-73.99034, 40.72894]"
115,0.0,"[-73.98796999999999, 40.72394]"
116,0.0,"[-74.00406, 40.71314]"
117,0.0,"[-74.00214, 40.71518]"
118,0.0,"[-73.98089, 40.753479999999996]"
119,0.0,"[-73.99413, 40.72664]"
120,0.0,"[-73.97480999999999, 40.746109999999994]"
121,0.0,"[-73.98754, 40.71983]"
122,0.0,"[-74.01443, 40.71103]"
123,0.0,"[-73.97131, 40.74435]"
124,0.0,"[-74.00095, 40.73171]"
125,0.0,"[-73.98626, 40.72229]"
126,0.0,"[-74.00304, 40.71803]"
127,0.0,"[-73.98815, 40.73196]"
128,0.0,"[-73.9866, 40.74277]"
129,0.0,"[-73.98176, 40.74073]"
130,0.0,"[-74.00569, 40.706379999999996]"
131,0.0,"[-73.98201, 40.74326]"
132,0.0,"[-74.01321999999999, 40.71653]"
133,0.0,"[-73.99575, 40.7209]"
134,0.0,"[-74.01550999999999, 40.7077]"
135,0.0,"[-73.9866, 40.74277]"
136,0.0,"[-74.00723, 40.71304]"
137,0.0,"[-73.98409000000001, 40.73754]"
138,0.0,"[-73.99671, 40.7255]"
139,0.0,"[-73.99048, 40.71933]"
140,0.0,"[-74.00376999999999, 40.72238]"
141,0.0,"[-73.96695, 40.76662]"
142,0.0,"[-74.00947, 40.710409999999996]"
143,0.0,"[-73.99078, 40.728359999999995]"
144,0.0,"[-74.01158000000001, 40.703520000000005]"
145,0.0,"[-73.99083, 40.72429]"
146,0.0,"[-73.99192, 40.73117]"
147,0.0,"[-74.00027, 40.717620000000004]"
148,0.0,"[-73.99987, 40.72043]"
149,0.0,"[-73.98633000000001, 40.72217]"
150,0.0,"[-73.9781, 40.74572]"
151,0.0,"[-73.99259, 40.724059999999994]"
152,0.0,"[-73.9957, 40.718779999999995]"
